# corr_number image_ts depth_ts gt_ts x_pix y_pix tx ty tz qx qy qz qw
1 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 22.733251 336.0831271.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
1 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 28.688586 318.8126551.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
1 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 28.093052 314.6439211.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
1 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 29.879653 297.9689831.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
1 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 13.800248 287.2493801.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
2 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 100.748139 328.3411911.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
2 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 109.681141 311.6662531.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
2 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 109.085608 305.1153851.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
2 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 110.872208 289.0359801.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
2 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 100.152605 278.9119111.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
3 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 126.356079 261.6414391.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
3 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 132.311414 240.2022331.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
3 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 134.693548 235.4379651.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
3 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 138.862283 218.1674941.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
3 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 127.547146 203.2791561.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
4 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 56.678660 262.2369731.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
4 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 63.229529 244.9665011.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
4 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 62.038462 238.4156331.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
4 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 66.207196 221.1451611.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
4 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 53.105459 206.2568241.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
5 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 425.313896 275.3387101.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
5 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 439.606700 259.8548391.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
5 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 450.326303 247.3486351.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
5 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 466.405707 234.2468981.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
5 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 468.192308 223.5272951.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
6 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 447.348635 274.7431761.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
6 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 464.023573 258.6637721.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
6 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 474.743176 246.7531021.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
6 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 492.609181 231.2692311.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
6 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 491.418114 221.7406951.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
7 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 363.378412 340.8473951.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
