# corr_number image_ts depth_ts gt_ts x_pix y_pix tx ty tz qx qy qz qw
1 1305031102.175304 1305031102.160407 1305031102.1758 22.137717 336.083127 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
1 1305031102.343233 1305031102.329195 1305031102.3458 28.093052 315.834988 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
2 1305031102.175304 1305031102.160407 1305031102.1758 100.152605 328.936725 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
2 1305031102.343233 1305031102.329195 1305031102.3458 106.703474 308.688586 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
3 1305031102.175304 1305031102.160407 1305031102.1758 125.760546 259.259305 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
3 1305031102.343233 1305031102.329195 1305031102.3458 134.098015 234.842432 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
4 1305031102.175304 1305031102.160407 1305031102.1758 59.060794 262.832506 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
4 1305031102.343233 1305031102.329195 1305031102.3458 65.611663 240.202233 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
5 1305031102.175304 1305031102.160407 1305031102.1758 81.095533 130.624069 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
5 1305031102.343233 1305031102.329195 1305031102.3458 88.241935 104.420596 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
6 1305031102.175304 1305031102.160407 1305031102.1758 339.557072 378.961538 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
6 1305031102.343233 1305031102.329195 1305031102.3458 356.232010 361.691067 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
7 1305031102.175304 1305031102.160407 1305031102.1758 369.929280 471.269231 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
7 1305031102.343233 1305031102.329195 1305031102.3458 386.604218 453.998759 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
8 1305031102.175304 1305031102.160407 1305031102.1758 506.901985 351.566998 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
8 1305031102.343233 1305031102.329195 1305031102.3458 534.892060 330.723325 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
9 1305031102.175304 1305031102.160407 1305031102.1758 200.202233 186.604218 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
9 1305031102.343233 1305031102.329195 1305031102.3458 209.135236 160.996278 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
10 1305031102.175304 1305031102.160407 1305031102.1758 296.083127 62.733251 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
10 1305031102.343233 1305031102.329195 1305031102.3458 307.993797 43.080645 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
11 1305031102.175304 1305031102.160407 1305031102.1758 422.931762 276.529777 1.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
11 1305031102.343233 1305031102.329195 1305031102.3458 448.539702 253.303970 1.299100 0.625700 1.611800 0.661900 0.620400 -0.291600 -0.303200
