# corr_number image_ts depth_ts gt_ts x_pix y_pix tx ty tz qx qy qz qw
1 1341841873.941758 1341841873.941785 1341841873.9392 208.000000 297.000000 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
1 1341841874.613900 1341841874.615232 1341841874.6154 257.000000 329.500000 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
1 1341841875.285981 1341841875.285994 1341841875.2852 359.000000 358.500000 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
2 1341841873.941758 1341841873.941785 1341841873.9392 262.745989 166.917112 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
2 1341841874.613900 1341841874.615232 1341841874.6154 273.868984 168.628342 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
2 1341841875.285981 1341841875.285994 1341841875.2852 343.173797 198.574866 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
3 1341841873.941758 1341841873.941785 1341841873.9392 361.141711 129.270053 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
3 1341841874.613900 1341841874.615232 1341841874.6154 421.890374 119.858289 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
3 1341841875.285981 1341841875.285994 1341841875.2852 502.318182 142.104278 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
4 1341841873.941758 1341841873.941785 1341841873.9392 403.066845 141.248663 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
4 1341841874.613900 1341841874.615232 1341841874.6154 466.382353 130.981283 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
4 1341841875.285981 1341841875.285994 1341841875.2852 533.975936 152.371658 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
5 1341841873.941758 1341841873.941785 1341841873.9392 439.858289 243.922460 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
5 1341841874.613900 1341841874.615232 1341841874.6154 438.147059 232.799465 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
5 1341841875.285981 1341841875.285994 1341841875.2852 471.516043 244.778075 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
6 1341841874.613900 1341841874.615232 1341841874.6154 348.307487 273.013369 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
6 1341841875.285981 1341841875.285994 1341841875.2852 420.179144 291.836898 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
7 1341841873.941758 1341841873.941785 1341841873.9392 521.997326 56.542781 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
7 1341841875.285981 1341841875.285994 1341841875.2852 222.532086 63.387701 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
8 1341841873.941758 1341841873.941785 1341841873.9392 502.318182 151.516043 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
8 1341841875.285981 1341841875.285994 1341841875.2852 220.820856 158.360963 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
9 1341841873.941758 1341841873.941785 1341841873.9392 372.264706 82.211230 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
9 1341841874.613900 1341841874.615232 1341841874.6154 416.756684 68.521390 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
9 1341841875.285981 1341841875.285994 1341841875.2852 484.350267 99.323529 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
10 1341841873.941758 1341841873.941785 1341841873.9392 186.596257 301.248663 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
10 1341841874.613900 1341841874.615232 1341841874.6154 228.521390 339.751337 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
10 1341841875.285981 1341841875.285994 1341841875.2852 332.050802 373.120321 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
11 1341841873.941758 1341841873.941785 1341841873.9392 493.762032 399.644385 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
11 1341841874.613900 1341841874.615232 1341841874.6154 527.986631 379.109626 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
11 1341841875.285981 1341841875.285994 1341841875.2852 572.478610 360.286096 -1.372800 0.676000 1.520700 0.077900 0.833800 -0.544900 -0.043300
12 1341841873.941758 1341841873.941785 1341841873.9392 280.713904 35.152406 -1.953000 0.686700 1.503900 -0.175900 0.817000 -0.534300 0.126900
12 1341841874.613900 1341841874.615232 1341841874.6154 296.114973 21.462567 -1.634100 0.701800 1.510200 -0.038000 0.841300 -0.538900 0.016900
