# corr_number image_ts depth_ts gt_ts x_pix y_pix tx ty tz qx qy qz qw
1 1341841873.273798 1341841873.273820 1341841873.4151 456.970588 355.152406 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
1 1341841874.277871 1341841874.277884 1341841874.2751 504.029412 401.355615 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
2 1341841873.273798 1341841873.273820 1341841873.4151 426.168449 302.104278 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
2 1341841874.277871 1341841874.277884 1341841874.2751 479.216578 360.286096 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
3 1341841873.273798 1341841873.273820 1341841873.4151 372.264706 109.590909 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
3 1341841874.277871 1341841874.277884 1341841874.2751 428.735294 139.537433 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
4 1341841873.273798 1341841873.273820 1341841873.4151 367.986631 83.066845 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
4 1341841874.277871 1341841874.277884 1341841874.2751 423.601604 107.024064 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
5 1341841873.273798 1341841873.273820 1341841873.4151 224.243316 237.077540 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
5 1341841874.277871 1341841874.277884 1341841874.2751 203.708556 315.794118 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
6 1341841873.273798 1341841873.273820 1341841873.4151 283.280749 135.259358 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
6 1341841874.277871 1341841874.277884 1341841874.2751 251.622995 166.917112 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
7 1341841873.273798 1341841873.273820 1341841873.4151 350.018717 59.965241 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
7 1341841874.277871 1341841874.277884 1341841874.2751 385.098930 79.644385 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
8 1341841873.273798 1341841873.273820 1341841873.4151 392.799465 186.596257 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
8 1341841874.277871 1341841874.277884 1341841874.2751 389.377005 218.254011 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
9 1341841873.273798 1341841873.273820 1341841873.4151 285.847594 21.462567 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
9 1341841874.277871 1341841874.277884 1341841874.2751 281.569519 24.029412 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
10 1341841873.273798 1341841873.273820 1341841873.4151 441.569519 214.831551 -2.183700 0.682100 1.485400 -0.265100 0.788900 -0.518300 0.197000
10 1341841874.277871 1341841874.277884 1341841874.2751 434.724599 243.066845 -1.804200 0.673200 1.503200 -0.114200 0.834400 -0.535100 0.066600
